62997308-c3ec-11ea-ba01-ac1f6b2cd28a,Суп из цветной капусты,30.0
6886fcee-c479-11ea-ba01-ac1f6b2cd28a,"Сыроедческий десерт из фиников, кешью и банана",10.86
cec6b044-c40b-11ea-b8df-0242ac1c0002,Кролик в миндальном соусе,56.57
39ced4de-c48e-11ea-ba01-ac1f6b2cd28a,Мороженое «Джандуйя»,40.5
7276d5f2-c3d5-11ea-baab-ac1f6b2cd28a,Вегетарианский рис с тофу,33.6
971be3c8-c481-11ea-ba01-ac1f6b2cd28a,Овощной штрудель,46.0
a667c0a8-c496-11ea-ba01-ac1f6b2cd28a,Кулебяка с курицей,18.0
383ddb24-c4a2-11ea-ba01-ac1f6b2cd28a,Яблочно-пивной штрудель,28.33
b6d4c152-c225-11ea-9c18-ac1f6b2cd28a,Овсяные оладьи из хлопьев,39.2
c6e771ca-c41e-11ea-ba01-ac1f6b2cd28a,Жареный нут в соевой глазури,15.0
2e8e2770-c3f1-11ea-ba01-ac1f6b2cd28a,"Слоеный салат с грибами, мясом и плавлеными сырками",60.0
da76a9b8-c21b-11ea-9c18-ac1f6b2cd28a,"Перец, фаршированный брынзой и помидорами",12.0
d6195860-c3e8-11ea-ba01-ac1f6b2cd28a,Салат с ананасом и курицей,22.4
3a9d2324-c46c-11ea-ba01-ac1f6b2cd28a,Томато пассата,21.0
5e3d5d50-c3f7-11ea-ba01-ac1f6b2cd28a,Суп-пюре из красного болгарского перца,50.0
abee84cc-c3ff-11ea-ba01-ac1f6b2cd28a,Красный борщ с пампушками,163.8
9d44a596-c47c-11ea-ba01-ac1f6b2cd28a,Очень черничные капкейки с мягким сырным кремом,28.0
013635b2-c3f4-11ea-ba01-ac1f6b2cd28a,Картофельный суп с зеленым горошком и пряными колбасками,22.0
9ab89530-c3f5-11ea-9f7f-0242ac1c0002,Картошка с грибами,64.0
2eb8d302-c3f7-11ea-ba01-ac1f6b2cd28a,Цитрусово-ягодный смузи,18.0
24409692-c3f9-11ea-ba01-ac1f6b2cd28a,Коктейль из джина с мятным ликером,10.0
0d7e7cf6-c4a5-11ea-ba01-ac1f6b2cd28a,Пудинг из тапиоки с ромом и изюмом,29.25
95b4d018-c4a3-11ea-ba01-ac1f6b2cd28a,Торт с ежевикой и красной смородиной,17.0
55f8bd42-c3ed-11ea-a7a3-0242ac1c0002,Бараньи отбивные на подушке из шпината,26.25
5a85c8dc-c21c-11ea-9c18-ac1f6b2cd28a,Овсяная каша с сушеной клюквой и белым шоколадом,42.0
a77e70b2-c41a-11ea-ba01-ac1f6b2cd28a,Паста карбонара с копченой грудинкой,21.0
797e4a90-c3e6-11ea-ba01-ac1f6b2cd28a,Салат из кальмаров со свежими огурцами,30.0
